TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
1325.298243,0.002520202,70445,4509.895508,8.866177559,1070.994385,3.41277194,5204.05127,10.29256725,0,NA,NA,NA,NA,1211.611054,0.001463701,1432.198955,0.00142492,0.059421357,0.009758743
1325.299632,0.002520228,70446,4519.335938,8.875414848,1065.457886,3.414299488,5219.712402,10.30328941,0,NA,NA,NA,NA,1211.587157,0.001457039,1432.171742,0.001423016,0.028164241,-0.025007574
1325.301021,0.002520253,70447,4505.969727,8.866879463,1076.141968,3.415653706,5204.706543,10.29338074,0,NA,NA,NA,NA,1211.585759,0.00146165,1432.165025,0.001425434,0.02595081,-0.028854512
1325.302409,0.002520279,70448,4495.225098,8.868023872,1074.96521,3.422920227,5194.593262,10.29471016,0,NA,NA,NA,NA,1211.579666,0.001466506,1432.156673,0.001429091,0.023692584,-0.039292164
1325.303798,0.002520304,70449,4501.210449,8.873064041,1079.34729,3.432657957,5200.265625,10.30056095,0,NA,NA,NA,NA,1211.579324,0.001462234,1432.156507,0.001426225,0.017583808,-0.039253365
1325.305187,0.00252033,70450,4505.641113,8.877851486,1083.593628,3.432440281,5206.504883,10.30611897,0,NA,NA,NA,NA,1211.579667,0.001462947,1432.159178,0.001428401,0.016572382,-0.039355457
1325.306576,0.002520355,70451,4505.481934,8.884151459,1082.681152,3.437659025,5207.037598,10.31343174,0,NA,NA,NA,NA,1211.580942,0.001465278,1432.153574,0.001424077,0.019738361,-0.042988893
1325.307965,0.002520381,70452,4512.638672,8.883062363,1081.888672,3.437175512,5214.391602,10.31216812,0,NA,NA,NA,NA,1211.575268,0.001461398,1432.158416,0.001425816,0.017653391,-0.039306372
1325.309354,0.002520406,70453,4495.949219,8.882629395,1087.674683,3.446301222,5195.144043,10.31166553,0,NA,NA,NA,NA,1211.578212,0.001467441,1432.152846,0.001427544,0.015913343,-0.042748202
1325.310743,0.002520432,70454,4522.798828,8.891750336,1084.792114,3.435533047,5224.398438,10.32225323,0,NA,NA,NA,NA,1211.57418,0.001460622,1432.158811,0.001423741,0.01551092,-0.035934299
1325.312132,0.002520457,70455,4518.414063,8.894454956,1091.549561,3.441788197,5221.892578,10.32539368,0,NA,NA,NA,NA,1211.572251,0.001462483,1432.150696,0.001425638,0.012084479,-0.049082477
1325.313521,0.002520483,70456,4512.366699,8.910311699,1101.075684,3.460147858,5213.94873,10.3438015,0,NA,NA,NA,NA,1211.582059,0.001468466,1432.157822,0.001428387,0.022611609,-0.038729709
1325.31491,0.002520508,70457,4507.957031,8.896665573,1095.372314,3.452060938,5208.44873,10.32795906,0,NA,NA,NA,NA,1211.576397,0.001467806,1432.158315,0.001428594,0.016427584,-0.03801921
1325.316299,0.002520534,70458,4521.466797,8.907686234,1101.414185,3.452843428,5225.351074,10.3407526,0,NA,NA,NA,NA,1211.575317,0.001463769,1432.154344,0.001427821,0.011771371,-0.045871221
1325.317687,0.002520559,70459,4516.828125,8.901680946,1097.224243,3.450250149,5217.93457,10.3337822,0,NA,NA,NA,NA,1211.580844,0.00146533,1432.157654,0.001426299,0.018867875,-0.041317396
1325.319076,0.002520585,70460,4510.503418,8.90690136,1103.7146,3.460764647,5212.397949,10.33984184,0,NA,NA,NA,NA,1211.574866,0.001465591,1432.156047,0.001432447,0.016000494,-0.043367669
1325.320465,0.00252061,70461,4521.758789,8.91206646,1105.457275,3.455161333,5224.431152,10.34583759,0,NA,NA,NA,NA,1211.578877,0.001466485,1432.161088,0.00142533,0.018748667,-0.03345637
1325.321854,0.002520636,70462,4492.713379,8.906235695,1113.834351,3.47329092,5190.742188,10.33906937,0,NA,NA,NA,NA,1211.579731,0.001473086,1432.156341,0.001434665,0.016048284,-0.041225612
1325.323243,0.002520662,70463,4497.5625,8.909832954,1110.803711,3.462573767,5196.317871,10.34324551,0,NA,NA,NA,NA,1211.577517,0.001472261,1432.15743,0.001435582,0.014919805,-0.038604703
1325.324632,0.002520687,70464,4503.247559,8.926364899,1116.948242,3.474032164,5202.958008,10.36243725,0,NA,NA,NA,NA,1211.578088,0.001472674,1432.157775,0.001441326,0.015186776,-0.040867623
1325.326021,0.002520713,70465,4508.305664,8.922761917,1113.683838,3.472378016,5209.734863,10.35825443,0,NA,NA,NA,NA,1211.57502,0.001471642,1432.158755,0.001436684,0.014389865,-0.037860587
1325.32741,0.002520738,70466,4504.991211,8.920016289,1118.925537,3.475717783,5207.710449,10.35506725,0,NA,NA,NA,NA,1211.578078,0.001470163,1432.148159,0.001436915,0.016714221,-0.051942829
1325.328799,0.002520764,70467,4514.166992,8.939631462,1125.506836,3.486530781,5214.143066,10.37783813,0,NA,NA,NA,NA,1211.576492,0.001471863,1432.159592,0.001436686,0.015710888,-0.035007253
1325.330188,0.002520789,70468,4505.683105,8.924821854,1123.871826,3.476624012,5205.76123,10.36064529,0,NA,NA,NA,NA,1211.576568,0.001474751,1432.157569,0.001436864,0.017135287,-0.039457522
1325.331577,0.002520815,70469,4507.949707,8.925354004,1125.034668,3.479953766,5207.932129,10.36126328,0,NA,NA,NA,NA,1211.578057,0.001473108,1432.152936,0.001434847,0.018103909,-0.042840388
1325.332966,0.00252084,70470,4514.41748,8.932388306,1128.994019,3.48200655,5215.098145,10.36942863,0,NA,NA,NA,NA,1211.574755,0.0014735,1432.159524,0.001435655,0.014341448,-0.036884204
1325.334354,0.002520866,70471,4512.166016,8.944595337,1131.789063,3.491794348,5212.939941,10.38359928,0,NA,NA,NA,NA,1211.579031,0.001473258,1432.155314,0.001440165,0.018036751,-0.044085514
1325.335743,0.002520891,70472,4509.903809,8.94226265,1138.735962,3.492718458,5210.069824,10.38089275,0,NA,NA,NA,NA,1211.581546,0.001473754,1432.157765,0.001439136,0.020406192,-0.041358665
1325.337132,0.002520917,70473,4529.955078,8.964613914,1139.14209,3.507614851,5233.820801,10.40683937,0,NA,NA,NA,NA,1211.579836,0.001474067,1432.155964,0.001436009,0.018328333,-0.041792873
1325.338521,0.002520942,70474,4524.310059,8.956715584,1141.825928,3.507028341,5227.137207,10.39766979,0,NA,NA,NA,NA,1211.572055,0.001471958,1432.161523,0.001435508,0.011333031,-0.036700513
1325.33991,0.002520968,70475,4524.709473,8.961315155,1146.014038,3.500983715,5226.164551,10.40301037,0,NA,NA,NA,NA,1211.577137,0.001472495,1432.156741,0.001436864,0.017068613,-0.038524445
1325.341299,0.002520993,70476,4505.633301,8.964745522,1160.822266,3.515250921,5206.194336,10.40699196,0,NA,NA,NA,NA,1211.579969,0.001479164,1432.153218,0.00144277,0.01767586,-0.043747112
1325.342688,0.002521019,70477,4516.056641,8.967995644,1155.314331,3.517736197,5216.527344,10.41076469,0,NA,NA,NA,NA,1211.577657,0.001476029,1432.157862,0.001440571,0.014785844,-0.038203608
1325.344077,0.002521045,70478,4508.975098,8.967345238,1164.094116,3.514184237,5210.510254,10.41001034,0,NA,NA,NA,NA,1211.578469,0.001478655,1432.152205,0.001445016,0.016820967,-0.046064008
1325.345466,0.00252107,70479,4511.851074,8.977284431,1166.529419,3.533026218,5212.487305,10.42154789,0,NA,NA,NA,NA,1211.57948,0.00147951,1432.158973,0.00144407,0.016494276,-0.037360888
1325.346855,0.002521096,70480,4522.873047,8.980085373,1167.105347,3.527830124,5225.891113,10.42479992,0,NA,NA,NA,NA,1211.577724,0.001477094,1432.157351,0.001440271,0.015194023,-0.040073238
1325.348244,0.002521121,70481,4507.146484,8.969931602,1166.450073,3.522593021,5208.17041,10.4130125,0,NA,NA,NA,NA,1211.580456,0.001481439,1432.154436,0.001443821,0.019364934,-0.043653153
1325.349633,0.002521147,70482,4533.475586,8.996658325,1166.600342,3.524524927,5237.371582,10.44403934,0,NA,NA,NA,NA,1211.578143,0.001477268,1432.154862,0.001445617,0.018724175,-0.044495728
1325.351021,0.002521172,70483,4521.55957,9.001767159,1181.364624,3.538627386,5224.836426,10.44996929,0,NA,NA,NA,NA,1211.577931,0.001483158,1432.155655,0.001445774,0.01699088,-0.041534256
