TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
1354.143233,0.000293362,91215,1453.415527,5.64735508,794.3553467,2.117398262,1614.980225,7.369537354,0,NA,NA,NA,NA,779.8432903,0.002556451,1764.83676,0.002266806,-0.029308796,-0.036411759
1354.144621,0.000293351,91216,1458.315063,5.649342537,792.3223267,2.112843513,1620.864624,7.372130871,0,NA,NA,NA,NA,779.8377316,0.002552261,1764.83421,0.002255752,-0.03490106,-0.042762183
1354.14601,0.00029334,91217,1448.52063,5.645602226,793.1240234,2.116552114,1608.007935,7.367250443,0,NA,NA,NA,NA,779.8414788,0.002561678,1764.839847,0.002275906,-0.026851578,-0.037931386
1354.147399,0.000293329,91218,1463.030029,5.649821758,791.6138306,2.112188339,1626.538208,7.372756481,0,NA,NA,NA,NA,779.843921,0.002542442,1764.833809,0.002253056,-0.027282683,-0.03738185
1354.148788,0.000293318,91219,1449.161499,5.652725697,793.8007202,2.115882874,1609.642334,7.376546383,0,NA,NA,NA,NA,779.8391952,0.00256474,1764.833784,0.002275136,-0.031709671,-0.035720389
1354.150177,0.000293307,91220,1462.34021,5.65656805,791.055603,2.114996672,1626.129272,7.381559849,0,NA,NA,NA,NA,779.8433026,0.002542723,1764.835159,0.002254685,-0.031869553,-0.035321139
1354.151566,0.000293297,91221,1455.193237,5.648674488,795.178833,2.115121365,1615.015747,7.371259689,0,NA,NA,NA,NA,779.8405525,0.002548568,1764.836091,0.002264534,-0.026889898,-0.03796063
1354.152955,0.000293286,91222,1455.919922,5.644590855,791.8921509,2.113629818,1617.994995,7.365930557,0,NA,NA,NA,NA,779.8447284,0.002553532,1764.83481,0.002253859,-0.031444989,-0.036588397
1354.154344,0.000293275,91223,1445.247925,5.633882046,792.242981,2.112068892,1604.184082,7.351956367,0,NA,NA,NA,NA,779.8381641,0.002562929,1764.838429,0.002271754,-0.031119743,-0.035977859
1354.155732,0.000293264,91224,1451.395142,5.64149332,791.1212769,2.112960577,1611.596802,7.361888409,0,NA,NA,NA,NA,779.8405249,0.002550902,1764.83867,0.002272139,-0.031654283,-0.035696235
