TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
1325.977707,0.005600982,70932,7160.536133,11.34287739,2137.091553,4.177914619,8071.129883,13.43445683,0,NA,NA,NA,NA,1689.384153,0.001409327,1810.847711,0.001111487,-0.036910966,0.134762511
1325.979096,0.005600981,70933,7142.325684,11.3367815,2132.739258,4.175031185,8057.101563,13.42723751,0,NA,NA,NA,NA,1689.389913,0.001414748,1810.827258,0.001114087,-0.025470987,0.110331573
1325.980485,0.00560098,70934,7151.645996,11.34513855,2142.330322,4.183806896,8064.59668,13.43713474,0,NA,NA,NA,NA,1689.387833,0.001412948,1810.834829,0.001113222,-0.027764453,0.121011987
1325.981874,0.005600979,70935,7143.241211,11.32403946,2124.995605,4.171136379,8049.478027,13.41214561,0,NA,NA,NA,NA,1689.386783,0.001411081,1810.839733,0.001111821,-0.028194364,0.126857176
1325.983263,0.005600978,70936,7139.995605,11.32616329,2137.018066,4.174215317,8046.962402,13.41466141,0,NA,NA,NA,NA,1689.394232,0.001414023,1810.833389,0.001113812,-0.021314329,0.123937555
1325.984651,0.005600977,70937,7148.08252,11.33266068,2135.725586,4.177430153,8055.992188,13.42235565,0,NA,NA,NA,NA,1689.384681,0.001411399,1810.840881,0.001112701,-0.033818685,0.125821397
1325.98604,0.005600977,70938,7151.989258,11.34567738,2143.25293,4.187877655,8062.379883,13.4377737,0,NA,NA,NA,NA,1689.388688,0.001411328,1810.838572,0.001114203,-0.028131939,0.12175335
1325.987429,0.005600976,70939,7140.408203,11.33766842,2140.966553,4.181473255,8045.67334,13.42828655,0,NA,NA,NA,NA,1689.392489,0.001417464,1810.839866,0.001113984,-0.025789274,0.133052692
1325.988818,0.005600975,70940,7138.917969,11.33417225,2140.965576,4.186511993,8050.432617,13.4241457,0,NA,NA,NA,NA,1689.389947,0.001414318,1810.830383,0.001114571,-0.03107316,0.110236444
1325.990207,0.005600974,70941,7159.302734,11.34121704,2137.115479,4.179101944,8068.730957,13.43249035,0,NA,NA,NA,NA,1689.390074,0.001411231,1810.842373,0.001112155,-0.028344391,0.132326111
1325.991596,0.005600973,70942,7168.027344,11.35695744,2142.876465,4.188717842,8080.938477,13.45113373,0,NA,NA,NA,NA,1689.390615,0.001411518,1810.837546,0.001113475,-0.028386097,0.121616475
1325.992985,0.005600972,70943,7141.45166,11.33794212,2137.723389,4.184240818,8047.212402,13.42861176,0,NA,NA,NA,NA,1689.386344,0.001414163,1810.835678,0.001115,-0.034525104,0.122781456
1325.994374,0.005600971,70944,7179.966797,11.3517065,2138.711426,4.181942463,8095.114746,13.44491482,0,NA,NA,NA,NA,1689.392296,0.001409753,1810.838003,0.001109912,-0.024023345,0.129430756
1325.995763,0.00560097,70945,7153.517578,11.34035492,2146.467041,4.18088007,8063.396484,13.43146896,0,NA,NA,NA,NA,1689.389526,0.001412186,1810.837629,0.001112058,-0.034915555,0.124735706
1325.997151,0.005600969,70946,7134.759277,11.33393097,2148.775635,4.184994698,8039.15918,13.42386055,0,NA,NA,NA,NA,1689.388826,0.001413841,1810.839943,0.001114752,-0.030875143,0.12808907
1325.99854,0.005600969,70947,7145.818359,11.34620953,2148.580322,4.189362526,8051.57373,13.43840408,0,NA,NA,NA,NA,1689.391767,0.001412298,1810.838028,0.001113863,-0.027025092,0.123421989
1325.999929,0.005600968,70948,7145.788086,11.33646679,2144.512207,4.185489178,8051.680176,13.42686462,0,NA,NA,NA,NA,1689.390797,0.001412156,1810.836572,0.001112988,-0.030466633,0.125850499
1326.001318,0.005600967,70949,7154.186523,11.34496784,2148.981689,4.18360281,8067.365234,13.43693161,0,NA,NA,NA,NA,1689.388588,0.001411007,1810.835542,0.001113311,-0.032105215,0.118278079
1326.002707,0.005600966,70950,7166.387695,11.34965134,2147.970459,4.181261539,8077.661621,13.44248104,0,NA,NA,NA,NA,1689.390274,0.001409997,1810.83945,0.001111003,-0.02817408,0.127525628
1326.004096,0.005600965,70951,7138.208496,11.34207916,2151.162598,4.186848164,8048.945313,13.43351173,0,NA,NA,NA,NA,1689.386764,0.001412943,1810.837433,0.001114708,-0.035187252,0.121835634
1326.005485,0.005600964,70952,7154.188965,11.34368801,2153.498291,4.190312386,8063.541504,13.43541813,0,NA,NA,NA,NA,1689.394207,0.001414354,1810.83446,0.00111294,-0.025565168,0.12293651
1326.006874,0.005600963,70953,7129.839844,11.33843517,2159.564941,4.189060688,8039.268555,13.42919445,0,NA,NA,NA,NA,1689.387853,0.001415401,1810.837753,0.001117491,-0.03781094,0.126157984
1326.008263,0.005600962,70954,7150.111328,11.34792805,2156.704346,4.191660881,8062.583008,13.44043827,0,NA,NA,NA,NA,1689.38901,0.001415736,1810.834296,0.001113069,-0.030329308,0.12000563
1326.009651,0.005600961,70955,7125.744629,11.34730625,2163.038086,4.195606232,8030.980957,13.43970203,0,NA,NA,NA,NA,1689.38994,0.001416181,1810.835151,0.001118491,-0.033782542,0.121947519
1326.01104,0.00560096,70956,7158.601074,11.35908222,2163.401855,4.192721367,8063.730469,13.45364952,0,NA,NA,NA,NA,1689.395724,0.001413729,1810.837673,0.001114432,-0.021515215,0.126983061
